ID,year,loan_limit,Gender,approv_in_adv,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
25144,2019,cf,Sex Not Available,nopre,p1,l1,nopc,nob/c,266500,,0.2517,1266.47,360,not_neg,not_int,lpsm,848000.0,home,1U,8340.0,CIB,577,EXP,45-54,63.53092784,North,direct,1,44.0
25756,2019,cf,Male,nopre,p3,l1,nopc,nob/c,356500,4.18,0.8732,3612.0,360,not_neg,not_int,not_lpsm,1128000.0,home,1U,11880.0,CIB,544,CIB,35-44,98.828125,south,direct,0,47.0
25683,2019,cf,Male,nopre,p4,l1,nopc,nob/c,476500,5.375,1.3059,7118.48,360,neg_amm,not_int,not_lpsm,668000.0,home,3U,27000.0,EQUI,603,CIB,,94.95614035,south,direct,1,52.0
25176,2019,ncf,Male,,p4,l1,nopc,b/c,296500,3.25,1.4914,3149.5,156,not_neg,not_int,not_lpsm,2398000.0,home,4U,7500.0,EXP,513,EXP,55-64,70.83333333,North,direct,0,37.0
25216,2019,cf,Male,nopre,p1,l1,nopc,nob/c,66500,3.99,-0.151,3890.58,348,not_neg,not_int,not_lpsm,1198000.0,home,1U,11760.0,EXP,765,CIB,65-74,96.21478873,North-East,direct,0,47.0
25358,2019,cf,Joint,nopre,p4,l1,nopc,nob/c,476500,2.875,-0.032,3612.0,180,not_neg,not_int,not_lpsm,158000.0,home,1U,7260.0,EXP,541,CIB,65-74,98.828125,south,direct,1,43.0
25556,2019,cf,Male,nopre,p3,l1,nopc,b/c,376500,4.625,0.3184,4070.0,192,neg_amm,int_only,not_lpsm,118000.0,home,1U,5340.0,EXP,726,EXP,35-44,61.07594937,south,direct,0,35.0
25558,2019,cf,Male,nopre,p3,l1,nopc,b/c,356500,4.375,-0.6949,2131.24,360,neg_amm,not_int,not_lpsm,518000.0,home,1U,4200.0,EXP,546,EXP,>74,70.38770053,south,direct,0,35.0
25437,2019,cf,Male,nopre,p1,l2,nopc,b/c,236500,4.99,-0.3592,8815.36,180,not_neg,not_int,lpsm,198000.0,home,1U,24060.0,EXP,516,EXP,45-54,87.39754098,North-East,direct,0,32.0
25777,2019,ncf,Male,pre,p1,l2,opc,nob/c,226500,3.875,0.4348,2665.52,144,not_neg,not_int,not_lpsm,98000.0,home,1U,,EQUI,563,EXP,45-54,42.1875,North-East,direct,1,41.0
25895,2019,cf,Female,nopre,p1,l1,nopc,nob/c,686500,3.49,-0.0425,5245.09,276,neg_amm,not_int,not_lpsm,558000.0,home,1U,18240.0,EQUI,838,CIB,,86.93181818,south,direct,0,26.0
25251,2019,cf,Female,nopre,p3,l1,opc,nob/c,496500,4.375,0.9787,1630.39,324,not_neg,not_int,not_lpsm,1108000.0,home,1U,16680.0,CRIF,654,CIB,45-54,96.59763314,North-East,direct,0,48.0
25275,2019,cf,Female,pre,p4,l1,nopc,nob/c,586500,4.0,-0.1696,3078.13,180,not_neg,not_int,not_lpsm,258000.0,home,1U,18420.0,EXP,691,EXP,55-64,88.26530612,North,direct,1,32.0
25658,2019,,Sex Not Available,nopre,p3,l2,opc,nob/c,216500,2.99,-0.367,2101.63,180,not_neg,not_int,not_lpsm,368000.0,home,1U,4320.0,CRIF,529,EXP,55-64,84.76331361,south,direct,0,33.0
24992,2019,cf,Male,nopre,p4,l1,nopc,nob/c,66500,3.0,0.8443,7305.0,324,not_neg,not_int,not_lpsm,138000.0,home,1U,2280.0,CIB,825,CIB,65-74,109.8404255,south,direct,1,30.0
25335,2019,cf,Male,nopre,p1,l2,nopc,nob/c,506500,,-0.1094,4542.18,300,neg_amm,not_int,not_lpsm,248000.0,home,2U,14220.0,CIB,669,CIB,55-64,76.78571429,south,direct,0,32.0
25338,2019,,Sex Not Available,nopre,p3,l1,nopc,nob/c,326500,4.625,-0.1484,3560.0,240,not_neg,not_int,not_lpsm,798000.0,home,1U,4440.0,CIB,659,CIB,65-74,67.69406393,south,direct,0,12.0
25783,2019,cf,Sex Not Available,,p1,l2,nopc,b/c,1376500,4.125,0.336,1544.4,324,not_neg,not_int,not_lpsm,468000.0,home,1U,5400.0,CRIF,871,EXP,65-74,46.80656934,North,direct,0,30.0
25493,2019,cf,Male,pre,p3,l1,nopc,b/c,396500,3.375,0.5541,9640.0,360,neg_amm,not_int,not_lpsm,808000.0,home,2U,8520.0,EQUI,535,EXP,65-74,78.64583333,North,direct,0,26.0
25430,2019,cf,Sex Not Available,nopre,p3,l1,nopc,nob/c,316500,3.7,0.042,1900.0,144,neg_amm,not_int,not_lpsm,108000.0,home,1U,2580.0,CIB,659,CIB,35-44,55.34539474,central,direct,1,43.0
25489,2019,cf,Male,nopre,p4,l1,nopc,nob/c,246500,3.875,0.3762,2843.93,360,not_neg,not_int,not_lpsm,468000.0,home,1U,6360.0,CIB,880,CIB,35-44,94.90291262,central,direct,0,33.0
